                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.4196,                 2.0151,                 1.4245,                0.77773,                 0.5129,                0.63115,                0.46982,                 1.1582,                 1.4966,                 1.2811,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                 1.3488,                 2.0564,                  1.427,                0.78196,                 0.5104,                0.63312,                0.47093,                 1.1588,                 1.5014,                  1.284,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                 1.3422,                 1.9962,                 1.4133,                0.69365,                0.54799,                0.63533,                0.47069,                 1.1551,                 1.4939,                 1.2826,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 1.3974,                 2.0309,                 1.4367,                0.69341,                0.55326,                0.63806,                0.47516,                 1.1534,                 1.4907,                 1.2805,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                 1.3967,                 2.0635,                 1.4086,                0.67154,                0.57041,                0.64106,                0.47854,                 1.1479,                 1.4838,                 1.2753,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                 1.3835,                 2.0616,                 1.4366,                0.81433,                0.49498,                0.64282,                0.47992,                  1.144,                 1.4769,                 1.2704,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                 1.2983,                 1.9777,                 1.3531,                0.83719,                 0.4991,                0.65125,                0.48792,                  1.138,                 1.4731,                 1.2643,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                  1.339,                 1.9682,                 1.4101,                  0.829,                0.50217,                0.65213,                0.48755,                  1.134,                 1.4745,                 1.2606,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                 1.3389,                 1.9468,                 1.3869,                0.82112,                0.50456,                0.65307,                0.48812,                 1.1346,                 1.4749,                 1.2597,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                 1.3528,                 1.9957,                  1.415,                0.80681,                0.51881,                0.65651,                0.49443,                 1.1251,                 1.4624,                 1.2531,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                 1.3522,                 1.9207,                 1.3705,                 0.8053,                0.51882,                0.65845,                0.49732,                 1.1141,                 1.4402,                  1.248,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                 1.3527,                 1.9338,                 1.3778,                0.79564,                0.52841,                0.66733,                 0.5042,                  1.108,                 1.4284,                 1.2445,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                  1.367,                 1.9221,                 1.3873,                0.74747,                0.56294,                0.66562,                0.50335,                 1.1071,                 1.4181,                 1.2437,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                 1.3301,                 1.8482,                 1.3747,                0.74726,                0.56879,                0.66532,                0.50248,                 1.1047,                 1.4148,                 1.2421,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                 1.3309,                 1.9036,                 1.3822,                0.77048,                0.56234,                0.66783,                0.50397,                 1.1027,                 1.4102,                 1.2405,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                  1.334,                 1.9311,                 1.3913,                0.79327,                0.55653,                0.66708,                0.50396,                 1.0998,                 1.4062,                 1.2391,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                 1.3601,                 1.9187,                 1.3895,                0.80109,                0.55598,                 0.6705,                0.50523,                 1.0978,                 1.4037,                 1.2381,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                  1.242,                 1.9281,                 1.3544,                0.79549,                0.55904,                 0.6732,                0.50834,                 1.0998,                 1.4049,                 1.2392,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                  1.332,                  1.905,                 1.3524,                 0.7975,                 0.5531,                0.67385,                0.50764,                 1.0992,                 1.4013,                 1.2397,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                 1.3069,                  1.943,                 1.3615,                0.80269,                0.55787,                0.67501,                0.51002,                 1.0976,                 1.3993,                 1.2379,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                 1.2061,                 1.8704,                 1.3557,                0.78983,                 0.5651,                0.67522,                0.51237,                  1.092,                 1.3913,                 1.2359,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                 1.2469,                 1.8852,                 1.3623,                0.80644,                0.55748,                0.67647,                0.51341,                 1.0863,                 1.3837,                 1.2323,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                 1.3127,                 1.9189,                 1.3702,                0.79991,                0.55659,                0.67821,                0.51099,                 1.0857,                 1.3757,                  1.231,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                 1.3001,                 1.8878,                 1.3668,                0.80016,                0.55458,                0.67866,                0.51147,                 1.0853,                 1.3731,                 1.2299,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                 1.3061,                 2.0636,                 1.3387,                0.80665,                0.55781,                0.67954,                0.50993,                 1.0818,                 1.3684,                 1.2227,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 1.3644,                 2.1303,                 1.3721,                0.80498,                0.56173,                0.67684,                0.50588,                 1.0834,                 1.3779,                 1.2185,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                 1.3049,                 2.0347,                 1.3598,                0.79527,                0.56556,                0.67751,                0.50477,                 1.0857,                 1.3925,                 1.2175,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                  1.269,                 2.0238,                 1.3258,                0.76392,                0.57167,                0.67571,                0.50486,                 1.0871,                 1.4035,                  1.217,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                 1.3116,                 2.0568,                 1.3616,                0.78885,                0.57285,                0.67893,                 0.5041,                 1.0877,                 1.4067,                  1.217,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                 1.3028,                 1.9767,                 1.3378,                 0.7814,                 0.5786,                0.68048,                0.50309,                  1.087,                 1.4098,                 1.2154,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                 1.2524,                 2.0474,                  1.333,                0.77425,                0.57862,                0.67976,                0.50294,                 1.0895,                 1.4149,                  1.216,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                 1.2718,                 2.0159,                 1.3431,                0.76651,                0.57931,                0.67936,                0.50297,                 1.0911,                  1.419,                 1.2157,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                 1.2645,                 1.9979,                 1.3343,                0.77169,                0.58421,                0.67997,                0.50279,                 1.0937,                 1.4267,                 1.2161,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                 1.2873,                 2.0491,                 1.3429,                0.77564,                0.58215,                0.67922,                0.50046,                 1.0942,                 1.4349,                 1.2158,             2.3681e-06,             2.3681e-06,             2.3681e-06
